"","Sample","Timepoint","Replicate","variable","value","Mean_ODnorm","SD_ODnorm","SE_ODnorm","col_fac"
"37","△MET3-△HIS2 1:20","24h","rep1","Glucose_pOD",139.247375580767,130.213759344782,8.22522393595636,4.74883525356936,"His2 Met3"
"38","△MET3-△HIS2 1:20","24h","rep2","Glucose_pOD",123.157336674866,130.213759344782,8.22522393595636,4.74883525356936,"His2 Met3"
"39","△MET3-△HIS2 1:20","24h","rep3","Glucose_pOD",128.236565778714,130.213759344782,8.22522393595636,4.74883525356936,"His2 Met3"
"40","△MET3-△HIS2 1:20","48h","rep1","Glucose_pOD",11.9760314528199,12.4804556112562,1.06086925625263,0.612493150672456,"His2 Met3"
"41","△MET3-△HIS2 1:20","48h","rep2","Glucose_pOD",11.7659149919255,12.4804556112562,1.06086925625263,0.612493150672456,"His2 Met3"
"42","△MET3-△HIS2 1:20","48h","rep3","Glucose_pOD",13.6994203890231,12.4804556112562,1.06086925625263,0.612493150672456,"His2 Met3"
"43","△MET3-△HIS2 1:5","24h","rep1","Glucose_pOD",109.711165836054,121.149517094866,25.1604639774641,14.5264006503248,"His2 Met3"
"44","△MET3-△HIS2 1:5","24h","rep2","Glucose_pOD",149.997074378017,121.149517094866,25.1604639774641,14.5264006503248,"His2 Met3"
"45","△MET3-△HIS2 1:5","24h","rep3","Glucose_pOD",103.740311070526,121.149517094866,25.1604639774641,14.5264006503248,"His2 Met3"
"46","△MET3-△HIS2 1:5","48h","rep1","Glucose_pOD",11.0045209257916,11.5849156649147,0.607037573773288,0.350473306626225,"His2 Met3"
"47","△MET3-△HIS2 1:5","48h","rep2","Glucose_pOD",11.5347440052282,11.5849156649147,0.607037573773288,0.350473306626225,"His2 Met3"
"48","△MET3-△HIS2 1:5","48h","rep3","Glucose_pOD",12.2154820637242,11.5849156649147,0.607037573773288,0.350473306626225,"His2 Met3"
"49","△MET3-△HIS2 10:1","24h","rep1","Glucose_pOD",175.772658264041,301.532951546655,226.32633238427,130.669568926759,"His2 Met3"
"50","△MET3-△HIS2 10:1","24h","rep2","Glucose_pOD",562.811359787247,301.532951546655,226.32633238427,130.669568926759,"His2 Met3"
"51","△MET3-△HIS2 10:1","24h","rep3","Glucose_pOD",166.014836588676,301.532951546655,226.32633238427,130.669568926759,"His2 Met3"
"52","△MET3-△HIS2 10:1","48h","rep1","Glucose_pOD",75.8524553066482,75.5385910300493,5.87837700655553,3.39388254713294,"His2 Met3"
"53","△MET3-△HIS2 10:1","48h","rep2","Glucose_pOD",69.5095695580367,75.5385910300493,5.87837700655553,3.39388254713294,"His2 Met3"
"54","△MET3-△HIS2 10:1","48h","rep3","Glucose_pOD",81.2537482254629,75.5385910300493,5.87837700655553,3.39388254713294,"His2 Met3"
"55","△TRP2-△TRP4 1:1","24h","rep1","Glucose_pOD",23.108542567185,22.8998309517319,5.42207305176859,3.13043533600441,"Trp2 Trp4"
"56","△TRP2-△TRP4 1:1","24h","rep2","Glucose_pOD",17.3764156522765,22.8998309517319,5.42207305176859,3.13043533600441,"Trp2 Trp4"
"57","△TRP2-△TRP4 1:1","24h","rep3","Glucose_pOD",28.2145346357342,22.8998309517319,5.42207305176859,3.13043533600441,"Trp2 Trp4"
"58","△TRP2-△TRP4 1:1","48h","rep1","Glucose_pOD",0.0523492404629951,0.0174497468209984,0.0302238480731827,0.0174497468209984,"Trp2 Trp4"
"59","△TRP2-△TRP4 1:1","48h","rep2","Glucose_pOD",0,0.0174497468209984,0.0302238480731827,0.0174497468209984,"Trp2 Trp4"
"60","△TRP2-△TRP4 1:1","48h","rep3","Glucose_pOD",0,0.0174497468209984,0.0302238480731827,0.0174497468209984,"Trp2 Trp4"
"61","△TRP2-△TRP4 1:10","24h","rep1","Glucose_pOD",34.0279482869004,30.4688365106418,4.35956973808471,2.51699876183415,"Trp2 Trp4"
"62","△TRP2-△TRP4 1:10","24h","rep2","Glucose_pOD",31.7723620071496,30.4688365106418,4.35956973808471,2.51699876183415,"Trp2 Trp4"
"63","△TRP2-△TRP4 1:10","24h","rep3","Glucose_pOD",25.6061992378752,30.4688365106418,4.35956973808471,2.51699876183415,"Trp2 Trp4"
"64","△TRP2-△TRP4 1:10","48h","rep1","Glucose_pOD",0,0,0,0,"Trp2 Trp4"
"65","△TRP2-△TRP4 1:10","48h","rep2","Glucose_pOD",0,0,0,0,"Trp2 Trp4"
"66","△TRP2-△TRP4 1:10","48h","rep3","Glucose_pOD",0,0,0,0,"Trp2 Trp4"
"67","△TRP2-△TRP4 10:1","24h","rep1","Glucose_pOD",111.474348721175,112.281292797707,4.22039879212767,2.43664837872248,"Trp2 Trp4"
