"x"
"MET10"
"ADE1"
"URA1"
"TRP4"
"LYS12"
"RPL27A"
"IRC10"
"MET1"
"MET14"
"MET3"
"MET5"
"ARG1"
"ECM29"
"MET13"
"MHF2"
"ARG2"
"ARG3"
"ARO7"
"HIS2"
"LYS4"
"HIS4"
"ADE5,7"
"ARO2"
"ARO1"
"ORT1"
"RSC2"
"YEA4"
"TRP2"
"HIS1"
"IBA57"
"RPS24B"
"ILV1"
"ARG8"
"VPH2"
"ADE6"
"HIS6"
