"x"
"ADE5,7"
"ARG1"
"ARG2"
"ECM29"
"ERG4"
"HIS1"
"HIS4"
"HIS6"
"HMF1"
"IBA57"
"ISA1"
"LYS1"
"MET10"
"MET13"
"MET7"
"MHF2"
"YBR209W"
"ORT1"
"POS5"
"RPL27A"
"TRP2"
"TRP3"
"URA1"
"VPS65"
"ADE1"
"ARG3"
"ARO1"
"ARO7"
"ILV1"
"IRC10"
"LAG1"
"LYS4"
"LYS9"
"MET3"
"ADE2"
"ADE6"
"LYS2"
"MET14"
"RPS24B"
"TRP5"
"ARG4"
"ARG5,6"
"ARG8"
"BUD16"
"FCY22"
"PEX35"
"RSC2"
"TRP4"
"HIS2"
"LYS5"
"MET1"
"YHL005C"
"URA4"
"ADE8"
"ARO2"
"LYS12"
"YEA4"
"MET5"
"APT1"
"APL2"
"PRP18"
"VPH2"
