condition,ORF,batch,timepoint,zfact,zgrade,file.name
LYS1,YIR034C,8,t48,0.772183882,excellent,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
LYS2,YBR115C,8,t48,0.718590251,excellent,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
LYS4,YDR234W,8,t48,0.486237394,marginal,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
LYS5,YGL154C,8,t48,-0.129622854,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
LYS9,YNR050C,8,t48,-0.113780222,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
MET1,YKR069W,8,t48,-0.193931804,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
MET13,YGL125W,8,t48,0.848605262,excellent,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
MET14,YKL001C,8,t48,0.495367912,marginal,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
MET18,YIL128W,8,t48,-4.120020547,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
MET28,YIR017C,8,t48,-3.222925334,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
MET3,ORF-ts1,8,t48,-0.092129243,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
MET7,YOR241W,8,t48,0.833639995,excellent,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
MHF2,YDL160C-A,8,t48,0.81794529,excellent,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
OPI3,YJR073C,8,t48,-0.343433901,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
"ORF , Dubious (2)",YDR008C,8,t48,0.500333613,excellent,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
"ORF , Uncharacterized (1)",YBR209W,8,t48,0.528673375,excellent,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
"ORF , Uncharacterized (2)",YHL005C,8,t48,0.810415062,excellent,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
ORT1,YOR130C,8,t48,0.401215671,marginal,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
PHA2,YNL316C,8,t48,-0.229913937,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
POS5,YPL188W,8,t48,0.357757678,marginal,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
PRO2,YOR323C,8,t48,-0.912919622,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
PRP18,YGR006W,8,t48,0.386736806,marginal,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
RPL27A,YHR010W,8,t48,-0.534663598,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
RPS24B,YIL069C,8,t48,0.676994076,excellent,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
RSC2,YLR357W,8,t48,0.13450956,marginal,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
SSQ1,YLR369W,8,t48,-1.213868665,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
SWI3,YJL176C,8,t48,-0.079131104,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
TRP2,YER090W,8,t48,-0.364716614,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
TRP3,YKL211C,8,t48,0.768978758,excellent,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
TRP4,YDR354W,8,t48,0.825060931,excellent,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
TRP5,YGL026C,8,t48,0.712530311,excellent,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
URA1,YKL216W,8,t48,0.777403407,excellent,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
URA4,YLR420W,8,t48,0.787031559,excellent,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
VMA1,YDL185W,8,t48,-1.444807487,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
VMA16,YHR026W,8,t48,-1.012746463,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
VMA2,YBR127C,8,t48,-0.296075162,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
VMA7,YGR020C,8,t48,-0.87161779,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
VMA8,YEL051W,8,t48,-1.427856333,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
VMA9,YCL005W-A,8,t48,-0.755099304,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
VPH2,YKL119C,8,t48,-1.108608178,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
VPS65,YLR322W,8,t48,0.044707661,marginal,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
YEA4,YEL004W,8,t48,0.591497786,excellent,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
YNG2,YHR090C,8,t48,-0.069710613,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
ZUO1,YGR285C,8,t48,-0.821231088,infeasible,170519_n1_lib.a1_MET3_LYS5_008_t48.xls
ADE1,YAR015W,9,t48,-0.203319118,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ADE2,YOR128C,9,t48,0.567116534,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
"ADE5,7",YGL234W,9,t48,0.804526157,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ADE6,YGR061C,9,t48,0.780219891,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ADE8,YDR408C,9,t48,-0.394310004,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ADO1,YJR105W,9,t48,-0.521611077,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ANP1,YEL036C,9,t48,-1.105589707,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
APL2,YKL135C,9,t48,0.118640812,marginal,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
APT1,YML022W,9,t48,-0.681067808,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ARG1,YOL058W,9,t48,0.647289833,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ARG2,YJL071W,9,t48,-0.077813387,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ARG3,YJL088W,9,t48,0.266448728,marginal,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ARG8,YOL140W,9,t48,0.677969617,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ARO1,YDR127W,9,t48,0.640703892,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ARO2,YGL148W,9,t48,0.538366768,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ARO7,YPR060C,9,t48,0.634538217,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
BAS1,YKR099W,9,t48,0.406354956,marginal,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
CCS1,YMR038C,9,t48,0.773830165,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
CDC40,YDR364C,9,t48,-0.920203925,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
CHO2,YGR157W,9,t48,-0.072932373,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
CNM67,YNL225C,9,t48,-0.447846048,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
DOC1,YGL240W,9,t48,-1.203783324,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ECM29,YHL030W,9,t48,0.659008839,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ERG4,YGL012W,9,t48,0.758577432,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
FCY22,YER060W-A,9,t48,-0.081686135,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
FUN12,YAL035W,9,t48,0.760671147,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
GGC1,YDL198C,9,t48,-0.944956838,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
HIS1,YER055C,9,t48,0.772182736,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
HIS2,YFR025C,9,t48,0.474503387,marginal,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
HIS4,YCL030C,9,t48,0.771356469,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
HIS6,ORF-ts1,9,t48,-0.213532328,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
HMF1,YER057C,9,t48,0.829827942,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
IBA57,YJR122W,9,t48,0.637199861,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ILV1,YER086W,9,t48,0.673455772,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
IRC10,YOL015W,9,t48,0.774210772,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ISA1,YLL027W,9,t48,0.440718042,marginal,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
LAG1,YHL003C,9,t48,0.771588768,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
LYS1,YIR034C,9,t48,0.692553117,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
LYS12,YIL094C,9,t48,0.532112351,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
LYS4,YDR234W,9,t48,0.642737919,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
LYS5,YGL154C,9,t48,-0.682540978,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
LYS9,YNR050C,9,t48,0.744092047,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
MET1,YKR069W,9,t48,-0.068567251,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
MET10,YFR030W,9,t48,-0.692576698,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
MET13,YGL125W,9,t48,0.822246679,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
MET14,YKL001C,9,t48,0.773578426,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
MET18,YIL128W,9,t48,-3.148030691,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
MET28,YIR017C,9,t48,-3.240119099,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
MET3,YJR010W,9,t48,-0.543776421,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
MET5,YJR137C,9,t48,0.116345764,marginal,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
MET7,YOR241W,9,t48,0.802063998,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
MHF2,YDL160C-A,9,t48,0.693259061,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
OPI3,YJR073C,9,t48,-1.110232978,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
"ORF , Dubious (2)",YDR008C,9,t48,-0.213705944,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
"ORF , Uncharacterized (1)",YBR209W,9,t48,0.695112586,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
"ORF , Uncharacterized (2)",YHL005C,9,t48,0.766398892,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ORT1,YOR130C,9,t48,0.814241979,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
PEX35,YGR168C,9,t48,-0.33513995,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
POS5,YPL188W,9,t48,0.043116676,marginal,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
PRO2,YOR323C,9,t48,-1.52701273,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
PRP18,YGR006W,9,t48,-0.595965628,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
RPL27A,YHR010W,9,t48,0.627195186,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
RPL31A,YDL075W,9,t48,-2.946547462,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
RPS24B,YIL069C,9,t48,0.018663221,marginal,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
RSC2,YLR357W,9,t48,0.78445505,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
SSQ1,YLR369W,9,t48,-29.08497147,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
SWI3,YJL176C,9,t48,-0.096408113,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
TRP2,YER090W,9,t48,0.759499993,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
TRP3,YKL211C,9,t48,0.790350157,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
TRP4,ORF-ts2,9,t48,-0.211811311,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
TRP5,YGL026C,9,t48,0.696653353,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
URA1,YKL216W,9,t48,0.384316474,marginal,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
URA4,YLR420W,9,t48,0.17612729,marginal,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
VMA1,YDL185W,9,t48,-1.278832187,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
VMA16,YHR026W,9,t48,-0.854019259,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
VMA2,YBR127C,9,t48,-0.419933784,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
VMA5,YKL080W,9,t48,-0.875612543,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
VMA6,YLR447C,9,t48,-0.364559313,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
VMA7,YGR020C,9,t48,-0.72991481,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
VMA8,YEL051W,9,t48,-3.718479299,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
VMA9,YCL005W-A,9,t48,-1.082313387,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
VPH2,YKL119C,9,t48,-1.278041884,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
VPS65,YLR322W,9,t48,0.559481393,excellent,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
YNG2,YHR090C,9,t48,-0.352745198,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ZUO1,YGR285C,9,t48,-0.135194402,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ZWF1,YNL241C,9,t48,-0.597753366,infeasible,190519_n1_lib.a1_HIS6_TRP4_009_t48.xls
ADE1,YAR015W,10,t48,0.775205234,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ADE2,YOR128C,10,t48,0.806253433,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
"ADE5,7",YGL234W,10,t48,0.875075108,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ADE6,YGR061C,10,t48,0.810693501,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ADE8,YDR408C,10,t48,0.870316014,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ADO1,YJR105W,10,t48,-0.366190967,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ANP1,YEL036C,10,t48,-0.327038308,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
APL2,YKL135C,10,t48,0.893113552,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
APT1,YML022W,10,t48,-0.584328967,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ARG1,YOL058W,10,t48,0.851770487,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ARG2,YJL071W,10,t48,0.28123088,marginal,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ARG3,YJL088W,10,t48,0.038787566,marginal,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ARG4,YHR018C,10,t48,0.850692822,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
"ARG5,6",YER069W,10,t48,0.86543263,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ARG8,YOL140W,10,t48,0.799318411,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ARO1,YDR127W,10,t48,0.842262967,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ARO2,YGL148W,10,t48,0.408512992,marginal,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ARO7,YPR060C,10,t48,0.887893352,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
BAS1,ORF-ts1,10,t48,-1.321325831,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
BUD16,YEL029C,10,t48,0.847218935,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
CCS1,YMR038C,10,t48,0.499646692,marginal,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
CDC40,YDR364C,10,t48,-0.276297887,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
CHO2,YGR157W,10,t48,0.481346194,marginal,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
CNM67,YNL225C,10,t48,0.196632496,marginal,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
DOC1,YGL240W,10,t48,-0.906797917,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ECM29,YHL030W,10,t48,0.824871302,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ERG4,YGL012W,10,t48,0.91049456,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
FCY22,YER060W-A,10,t48,0.886384349,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
FUN12,YAL035W,10,t48,0.846564516,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
GGC1,YDL198C,10,t48,0.156659861,marginal,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
HIS1,YER055C,10,t48,0.799802164,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
HIS2,YFR025C,10,t48,0.842503462,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
HIS4,YCL030C,10,t48,0.861615505,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
HIS6,YIL020C,10,t48,0.816771856,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
HMF1,YER057C,10,t48,0.909766907,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
IBA57,YJR122W,10,t48,-0.554942004,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ILV1,YER086W,10,t48,0.797057358,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
IRC10,YOL015W,10,t48,0.824091433,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ISA1,YLL027W,10,t48,0.880870038,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
LAG1,YHL003C,10,t48,0.855461884,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
LYS1,YIR034C,10,t48,0.778357047,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
LYS12,YIL094C,10,t48,0.80341047,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
LYS2,YBR115C,10,t48,-0.419590999,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
LYS4,YDR234W,10,t48,0.817732217,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
LYS5,YGL154C,10,t48,-0.609142439,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
LYS9,YNR050C,10,t48,0.794770374,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
MET1,YKR069W,10,t48,0.303024824,marginal,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
MET10,YFR030W,10,t48,0.846878725,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
MET13,ORF-ts2,10,t48,0.299545136,marginal,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
MET14,YKL001C,10,t48,0.864712856,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
MET18,YIL128W,10,t48,-1.6618334,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
MET28,YIR017C,10,t48,-4.30265111,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
MET3,YJR010W,10,t48,0.825593519,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
MET5,YJR137C,10,t48,0.763559193,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
MET7,YOR241W,10,t48,0.898461726,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
MHF2,YDL160C-A,10,t48,0.822988981,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
OPI3,YJR073C,10,t48,-0.010001723,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
"ORF , Dubious (2)",YDR008C,10,t48,0.856226407,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
"ORF , Uncharacterized (1)",YBR209W,10,t48,0.871209917,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
"ORF , Uncharacterized (2)",YHL005C,10,t48,0.860969769,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ORT1,YOR130C,10,t48,-1.881246084,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
PEX35,YGR168C,10,t48,0.8804953,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
PHA2,YNL316C,10,t48,-15.17823837,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
POS5,YPL188W,10,t48,0.604162414,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
PRO2,YOR323C,10,t48,-0.568799981,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
PRP18,YGR006W,10,t48,0.41636278,marginal,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
RPL27A,YHR010W,10,t48,0.755570709,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
RPL31A,YDL075W,10,t48,-2.985609203,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
RPS24B,YIL069C,10,t48,0.495279505,marginal,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
RSC2,YLR357W,10,t48,0.885614485,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
SSQ1,YLR369W,10,t48,-4.166323553,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
SWI3,YJL176C,10,t48,0.249903355,marginal,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
TRP2,YER090W,10,t48,0.036121115,marginal,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
TRP3,YKL211C,10,t48,0.896778106,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
TRP4,YDR354W,10,t48,0.873937889,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
TRP5,YGL026C,10,t48,0.788648817,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
URA1,YKL216W,10,t48,0.811541995,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
URA4,YLR420W,10,t48,0.864681894,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
VMA1,YDL185W,10,t48,-0.451521542,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
VMA16,YHR026W,10,t48,0.114605602,marginal,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
VMA2,YBR127C,10,t48,-0.137523792,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
VMA5,YKL080W,10,t48,-0.216059285,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
VMA6,YLR447C,10,t48,-0.011141288,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
VMA7,YGR020C,10,t48,-0.297278723,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
VMA8,YEL051W,10,t48,-0.724645345,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
VMA9,YCL005W-A,10,t48,-0.679750404,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
VPH2,YKL119C,10,t48,-0.26294399,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
VPS65,YLR322W,10,t48,0.837855776,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
YEA4,YEL004W,10,t48,-0.564458436,infeasible,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
YNG2,YHR090C,10,t48,0.318096942,marginal,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ZUO1,YGR285C,10,t48,0.525414232,excellent,190519_n1_lib.a1_BAS1_MET13_010_t48.xls
ADE2,YOR128C,11,t48,0.798292345,excellent,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
"ADE5,7",YGL234W,11,t48,0.853621677,excellent,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
ADE6,YGR061C,11,t48,0.736631248,excellent,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
ADE8,YDR408C,11,t48,0.101334157,marginal,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
ADO1,YJR105W,11,t48,-1.115112256,infeasible,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
ANP1,YEL036C,11,t48,-0.629684025,infeasible,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
APL2,YKL135C,11,t48,0.283795182,marginal,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
APT1,YML022W,11,t48,0.831612299,excellent,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
ARG1,YOL058W,11,t48,0.73121378,excellent,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
ARG3,YJL088W,11,t48,0.807387926,excellent,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
ARG4,ORF-ts2,11,t48,-0.200167123,infeasible,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
"ARG5,6",YER069W,11,t48,0.743641402,excellent,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
ARG8,YOL140W,11,t48,0.711672744,excellent,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
ARO1,YDR127W,11,t48,0.715774001,excellent,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
ARO7,YPR060C,11,t48,-0.393352363,infeasible,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
BAS1,YKR099W,11,t48,0.354894198,marginal,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
BUD16,YEL029C,11,t48,0.254613153,marginal,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
CDC40,YDR364C,11,t48,-1.192633888,infeasible,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
CHO2,YGR157W,11,t48,0.099043992,marginal,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
CNM67,YNL225C,11,t48,-1.060693598,infeasible,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
DOC1,YGL240W,11,t48,-1.037411273,infeasible,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
ECM29,YHL030W,11,t48,0.775457008,excellent,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
ERG4,YGL012W,11,t48,0.842172058,excellent,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
FCY22,YER060W-A,11,t48,0.494764818,marginal,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
FUN12,YAL035W,11,t48,0.506626067,excellent,250519_n1_lib.a1_LYS2_ARG4_011_t48.xls
